"name" "taxon" "taxon.lable" "G_norm_mean"
"242" "Luehea speciosa" "Plants" 2 0.967239932681506
"243" "Lycianthes glandulosa" "Plants" 2 0.967239932681506
"244" "Lycianthes multiflora" "Plants" 2 0.967239932681506
"245" "Mabea occidentalis" "Plants" 2 0.967239932681506
"246" "Maclura tinctoria" "Plants" 2 1.49617924579207
"247" "Malpighia glabra" "Plants" 2 0.967239932681506
"248" "Mammea americana" "Plants" 2 0.967239932681506
"249" "Manfreda scabra" "Plants" 2 0.967239932681506
"250" "Mangifera indica" "Plants" 2 1.23170474439605
"251" "Manilkara bidentata" "Plants" 2 0.967239932681506
"252" "Manilkara zapota" "Plants" 2 1.55916621256155
"253" "Marcgravia coriacea" "Plants" 2 0.967239932681506
"254" "Marcgravia mexicana" "Plants" 2 0.967239932681506
"255" "Marcgravia myriostigma" "Plants" 2 0.967239932681506
"256" "Marcgravia nepenthoides" "Plants" 2 0.967239932681506
"257" "Marcgravia nervosa" "Plants" 2 0.967239932681506
"258" "Marcgravia pittieri" "Plants" 2 0.967239932681506
"259" "Marcgravia polyantha" "Plants" 2 0.967239932681506
"260" "Marcgravia serrae" "Plants" 2 0.967239932681506
"261" "Markea panamensis" "Plants" 2 0.967239932681506
"262" "Matisia bracteolosa" "Plants" 2 0.967239932681506
"263" "Melicoccus bijugatus" "Plants" 2 0.967239932681506
"264" "Meriania pichinchensis" "Plants" 2 0.967239932681506
"265" "Merinthopodium neuranthum" "Plants" 2 1.02011661715167
"266" "Miconia albicans" "Plants" 2 0.967239932681506
"267" "Mimusops elengi" "Plants" 2 0.967239932681506
"268" "Mucuna holtonii" "Plants" 2 0.967239932681506
"269" "Mucuna urens" "Plants" 2 0.967239932681506
"270" "Muntingia calabura" "Plants" 2 1.51633167719669
"271" "Musa acuminata" "Plants" 2 0.967239932681506
"272" "Musa paradisiaca" "Plants" 2 0.967239932681506
"273" "Myrcia paivae" "Plants" 2 0.967239932681506
"274" "Nectandra ambigens" "Plants" 2 0.967239932681506
"275" "Neobuxbaumia tetetzo" "Plants" 2 0.952118954023369
"276" "Ochroma pyramidale" "Plants" 2 0.967239932681506
"277" "Oenocarpus distichus" "Plants" 2 0.967239932681506
"278" "Pachira quinata" "Plants" 2 0.967239932681506
"279" "Pachycereus pecten-aboriginum" "Plants" 2 0.967239932681506
"280" "Pachycereus pringlei" "Plants" 2 0.967239932681506
"281" "Pachycereus weberi" "Plants" 2 0.967239932681506
"282" "Paliavana prasinata" "Plants" 2 0.967239932681506
"283" "Parkia cachimboensis" "Plants" 2 0.967239932681506
"284" "Parkia gigantocarpa" "Plants" 2 0.967239932681506
"285" "Parkia igneiflora" "Plants" 2 0.967239932681506
"286" "Parkia nitida" "Plants" 2 0.967239932681506
"287" "Parkia pendula" "Plants" 2 0.967239932681506
"288" "Parkia platycephala" "Plants" 2 0.967239932681506
"289" "Passiflora amethystina" "Plants" 2 0.967239932681506
"290" "Passiflora mucronata" "Plants" 2 0.967239932681506
"291" "Passiflora penduliflora" "Plants" 2 0.967239932681506
"292" "Passiflora punctata" "Plants" 2 0.967239932681506
"293" "Passiflora quadrangularis" "Plants" 2 0.967239932681506
"294" "Persea americana" "Plants" 2 0.967239932681506
"295" "Phenakospermum guyannense" "Plants" 2 0.967239932681506
"296" "Philodendron appendiculatum" "Plants" 2 0.967239932681506
"297" "Philodendron cuneatum" "Plants" 2 0.967239932681506
"298" "Physalis angulata" "Plants" 2 0.967239932681506
"299" "Phytolacca rivinoides" "Plants" 2 0.967239932681506
"300" "Pilosocereus catingicola" "Plants" 2 0.967239932681506
"301" "Pilosocereus chrysacanthus" "Plants" 2 0.967239932681506
"302" "Pilosocereus lanuginosus" "Plants" 2 0.979829953422443
"303" "Pilosocereus moritzianus" "Plants" 2 0.979829953422443
"304" "Pilosocereus tillianus" "Plants" 2 0.967239932681506
"305" "Pimenta racemosa" "Plants" 2 0.967239932681506
"306" "Piper aduncum" "Plants" 2 0.967239932681506
"307" "Piper aequale" "Plants" 2 0.967239932681506
"308" "Piper amalago" "Plants" 2 1.57176804744046
"309" "Piper arboreum" "Plants" 2 0.967239932681506
"310" "Piper augustum" "Plants" 2 0.967239932681506
"311" "Piper auritum" "Plants" 2 0.967239932681506
"312" "Piper bartlingianum" "Plants" 2 0.967239932681506
"313" "Piper bisasperatum" "Plants" 2 0.967239932681506
"314" "Piper carrilloanum" "Plants" 2 0.967239932681506
"315" "Piper cenocladum" "Plants" 2 0.967239932681506
"316" "Piper colonense" "Plants" 2 0.967239932681506
"317" "Piper cordulatum" "Plants" 2 0.967239932681506
"318" "Piper crassinervium" "Plants" 2 0.967239932681506
"319" "Piper cyrtopodon" "Plants" 2 0.967239932681506
"320" "Piper darienense" "Plants" 2 0.967239932681506
"321" "Piper dilatatum" "Plants" 2 0.967239932681506
